patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
0,4,15,1,15,12,902,M2_Week23_Day2 (24.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
1,8,13,1,13,9,929,M2_Week23_Day2 (24.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
2,4,10,1,10,19,704,M2_Week23_Day2 (24.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
3,8,0,1,0,NA,0,M2_Week23_Day2 (24.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
4,8,6,1,6,43,752,M2_Week23_Day2 (24.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
5,4,6,1,6,5,456,M2_Week23_Day2 (24.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
6,4,0,1,0,NA,0,M2_Week23_Day2 (24.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
7,4,20,1,20,4,1099,M2_Week23_Day2 (24.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
8,3,18,1,18,5,2418,M2_Week23_Day2 (24.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day11_24.6.25.csv,2025-06-24
0,4,14,1,14,44,1347,M2_Week23_Day3 (25.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
1,8,6,1,6,9,367,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
2,4,2,1,2,5,63,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
3,4,4,1,4,6,157,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
4,4,0,1,0,NA,0,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
5,7,0,1,0,NA,0,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
6,4,1,1,1,6,0,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
7,4,3,1,3,15,157,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
8,4,6,1,6,58,407,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
9,8,4,1,4,46,272,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
10,8,14,1,14,11,1455,M2_Week23_Day3 (25.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
11,8,0,1,0,NA,0,M2_Week23_Day3 (25.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day12_25.6.25.csv,2025-06-25
0,4,3,1,3,20,228,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
1,4,8,1,8,42,625,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
2,9,9,1,9,46,1021,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
3,4,7,1,7,4,468,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
4,8,6,1,6,8,525,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
5,4,12,1,12,6,862,M2_Week23_Day4 (26.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
6,8,5,1,5,9,374,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
7,8,2,1,2,148,613,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
8,4,7,1,7,5,687,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
9,8,0,1,0,NA,0,M2_Week23_Day4 (26.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day13_26.6.25.csv,2025-06-26
